id;type;geometry
458;N/A;POINT (11.3571562 44.4945224)
459;N/A;POINT (11.3574587 44.4944945)
460;N/A;POINT (11.349374199999998 44.489830999999995)
461;N/A;POINT (11.3484947 44.4913048)
462;N/A;POINT (11.3490323 44.500040500000004)
463;N/A;POINT (11.3482211 44.5011878)
464;N/A;POINT (11.3574969 44.498076799999986)
465;N/A;POINT (11.356603715737258 44.4985145812683)
466;N/A;POINT (11.3463739 44.492116499999995)
467;N/A;POINT (11.356882899999999 44.4947898)
468;N/A;POINT (11.335842800000002 44.49319860000001)
469;N/A;POINT (11.3356155 44.492745899999996)
470;N/A;POINT (11.3359896 44.4934442)
471;N/A;POINT (11.3365002 44.4943906)
472;N/A;POINT (11.334610350000123 44.49553835000347)
473;N/A;POINT (11.3346574 44.49514490000001)
474;N/A;POINT (11.35477039998977 44.48890500000223)
475;N/A;POINT (11.34931920001626 44.49443545004441)
476;N/A;POINT (11.3495073 44.493407399999995)
477;N/A;POINT (11.3492545 44.493105)
478;N/A;POINT (11.348451099999998 44.4944794)
479;N/A;POINT (11.3441353 44.4913888)
480;N/A;POINT (11.3436781 44.49136750000001)
481;crossing;POINT (11.341740899999998 44.4912881)
482;N/A;POINT (11.3390125 44.4915727)
483;N/A;POINT (11.3391766 44.4920018)
484;N/A;POINT (11.3378376 44.492112999999996)
485;N/A;POINT (11.3362397 44.491831600000005)
486;N/A;POINT (11.3342091 44.49357959999999)
487;N/A;POINT (11.3329912 44.4938157)
488;N/A;POINT (11.3323008 44.4926723)
489;N/A;POINT (11.3318938 44.492023700000004)
490;N/A;POINT (11.3315345 44.4916547)
491;N/A;POINT (11.3437188 44.490711399999995)
492;N/A;POINT (11.343619399999998 44.49044529999998)
493;N/A;POINT (11.3441132 44.4906725)
494;N/A;POINT (11.3447415 44.4905623)
495;N/A;POINT (11.3429127 44.490521)
496;N/A;POINT (11.3430381 44.48847729999999)
497;N/A;POINT (11.3406998 44.4882404)
498;N/A;POINT (11.3436649 44.48831289999999)
499;N/A;POINT (11.339805275746423 44.48853729431326)
500;N/A;POINT (11.3403733 44.4865715)
501;N/A;POINT (11.34412715003586 44.487419800039376)
502;N/A;POINT (11.34458485001666 44.48730960000256)
503;N/A;POINT (11.3443792 44.487599)
504;N/A;POINT (11.344028300000002 44.4880516)
505;N/A;POINT (11.343092705178503 44.488751860848936)
506;N/A;POINT (11.3447886 44.48698069999999)
507;N/A;POINT (11.3445984 44.48643070000001)
508;N/A;POINT (11.3463216 44.48602879999999)
509;N/A;POINT (11.347705 44.488454399999995)
510;N/A;POINT (11.3505945 44.48637920000001)
511;N/A;POINT (11.353365938741282 44.4868865309651)
512;N/A;POINT (11.355957599999998 44.49055589999999)
513;N/A;POINT (11.356999100000545 44.490155300000396)
514;N/A;POINT (11.3551234 44.490877399999995)
515;N/A;POINT (11.3558073 44.49404700000001)
516;N/A;POINT (11.3532364 44.494103399999986)
517;N/A;POINT (11.3538051 44.4955407)
518;N/A;POINT (11.351924450017604 44.49419245005116)
519;N/A;POINT (11.3621439 44.480999399999995)
520;N/A;POINT (11.3611031 44.4792688)
521;N/A;POINT (11.3631527 44.48219749999999)
522;N/A;POINT (11.3632489 44.480446199999996)
523;N/A;POINT (11.3672258 44.475764899999994)
524;N/A;POINT (11.368676 44.4767036)
525;N/A;POINT (11.367388 44.475541199999995)
526;N/A;POINT (11.3668516 44.47645729999999)
527;N/A;POINT (11.362452499998039 44.488148600000144)
528;N/A;POINT (11.364416349997569 44.48737010000052)
529;N/A;POINT (11.363683299999998 44.486199899999995)
530;N/A;POINT (11.366354171068583 44.48673050911225)
531;N/A;POINT (11.3655843 44.485435599999995)
532;N/A;POINT (11.367168 44.48632209999999)
533;N/A;POINT (11.357218700004136 44.493957450000245)
534;N/A;POINT (11.3659663 44.492523899999995)
535;N/A;POINT (11.3665684 44.4925952)
536;N/A;POINT (11.365927600000001 44.49301719999999)
537;N/A;POINT (11.3654458 44.492371899999995)
538;N/A;POINT (11.369026 44.491770700000004)
539;N/A;POINT (11.3707326 44.4929789)
540;N/A;POINT (11.3715089 44.4931051)
541;N/A;POINT (11.369741100000002 44.491542300000006)
542;N/A;POINT (11.358551399999998 44.4993165)
543;N/A;POINT (11.359313805780177 44.49965752167357)
544;N/A;POINT (11.365556899999998 44.504072099999995)
545;N/A;POINT (11.364947599999999 44.50392419999999)
546;N/A;POINT (11.366757688484796 44.50490737255011)
547;N/A;POINT (11.331023300063398 44.4978781500436)
548;N/A;POINT (11.329583250015641 44.49748700000113)
549;N/A;POINT (11.319066049970653 44.50212150000981)
550;N/A;POINT (11.3184873 44.501260099999996)
551;N/A;POINT (11.320816100000002 44.5014589)
552;N/A;POINT (11.3165759 44.502953)
553;N/A;POINT (11.315626099999998 44.50134779999999)
554;crossing;POINT (11.315481509374173 44.50349118606002)
555;N/A;POINT (11.314881299999998 44.50254539999999)
556;N/A;POINT (11.3130927 44.5042672)
557;N/A;POINT (11.311459500000002 44.50483589999999)
